CEDULA DE PRINCIPALES CULTIVOS, PROVINCIA   2023;;;;;;;
REGION :;;;;TACNA;;;
PROVINCIA :;;;;JORGE BASADRE;;;
CULTIVO;;PRODUCCION ANUAL (t);SUPERFICIE CULTIVADA ha. (*);;;"RENDIMIENTO
(kg x ha)";"PRECIO EN
CHACRA (S/.
x kg)"
;;;TOTAL;COSECHADA;CRECIMIENTO;;
TOTAL PROVINCIAL:;;121,370;3,940;3,842;98;;
CULTIVOS TRANSITORIOS;;61,749;1,820;1,820;-;;
01;AJI;4,460;375;375;-;11,893;3.25
02;AJI PANCA;1,747;146;146;-;11,966;3.62
03;AJO;64;6;6;-;10,667;4.96
04;CEBOLLA;2,952;91;91;-;32,440;0.92
05;HABA GRANO VERDE;34;5;5;-;6,800;2.32
06;MAIZ AMILACEO;56;14;14;-;4,000;6.00
07;MAIZ CHALA;44,312;958;958;-;46,255;0.53
08;PAPA;199;11;11;-;18,091;2.39
09;SANDIA;156;6;6;-;26,000;2.10
10;ZAPALLO;7,769;208;208;-;37,351;1.53
CULTIVO SEMIPERMANENTE;;1,103;308;308;-;;
11;OREGANO;1,103;308;308;-;3,581;4.33
CULTIVOS PERMANENTES;;58,518;1,812;1,714;98;;
12;ALFALFA;57,593;1,622;1,622;-;35,507;0.47
13;CIROLERO;7;1;1;-;7,000;7.00
14;DAMASCO;12;2;2;-;6,000;16.00
15;GRANADO;135;29;9;20;15,000;4.00
16;HIGUERA;15;4;4;-;3,750;2.00
17;MANZANO;40;8;8;-;5,000;2.50
18;MELOCOTONERO;28;5;5;-;5,600;4.00
19;MEMBRILLO;20;4;4;-;5,000;2.00
20;PALTO;349;109;32;77;10,906;3.68
21;PERAL;85;7;6;1;14,167;6.62
22;VID;234;21;21;-;11,143;3.98
FUENTE: A. Agrarias;;;;(*)INFORMACION PRELIMINAR;;;
