REGION :;;;;;;;;Tacna;;;;;;;;;
PROVINCIA :;;;;;;;;TACNA;;;;;;;;;
;;;;;;;;;;;;;;;;;
CULTIVO;;PRODUCCION ANUAL (t);SUPERFICIE CULTIVADA ha. (*);;;;;;"RENDIMIENTO
(kg x ha)";;;"PRECIO EN CHACRA
(S/ x Kg)";;;;;
;;;TOTAL;;COSECHADA;;CRECIMIENTO;;;;;;;;;;
;;444,145;33,558;;29,357;;4,201;;;;;;;;;;
TOTAL PROVINCIAL:                                                       ;;444,145;33,558;;29,357;;4,201;;;;;;;;;;
CULTIVOSÿTRANSITORIOS;;;;;;;;;;;;;;;;;
01;ACELGA;32;2;;2;;-;;16,000;;;1.65;;;;;
02;AJI;8,570;786;;786;;-;;10,903;;;2.71;;;;;
03;APIO;2,612;121;;121;;-;;21,587;;;1.16;;;;;
04;ARVEJA GRANO VERDE;64;11;;11;;-;;5,818;;;5.42;;;;;
05;BETARRAGA;2,241;128;;128;;-;;17,508;;;1.74;;;;;
06;BROCOLI;1,396;78;;78;;-;;17,897;;;1.98;;;;;
07;CAMOTE;7,483;365;;365;;-;;20,501;;;1.24;;;;;
08;CEBOLLA CABEZA AMARILLA;283;8;;8;;-;;35,375;;;1.22;;;;;
09;CEBOLLA ROJA;7,980;217;;217;;-;;36,774;;;1.08;;;;;
10;COL O REPOLLO;1,157;56;;56;;-;;20,661;;;1.74;;;;;
11;COLIFLOR;805;48;;48;;-;;16,771;;;1.85;;;;;
12;ESPINACA (T);623;39;;39;;-;;15,974;;;2.02;;;;;
13;FRIJOL VAINITA;1,340;187;;187;;-;;7,166;;;4.78;;;;;
14;HABA GRANO VERDE;221;36;;36;;-;;6,139;;;2.19;;;;;
15;LECHUGA;2,057;95;;95;;-;;21,653;;;1.67;;;;;
16;MAIZ AMILACEO;57;31;;31;;-;;1,839;;;4.61;;;;;
17;MAIZ CHALA;52,129;1,230;;1,230;;-;;42,381;;;0.51;;;;;
18;MAIZ CHOCLO;973;78;;78;;-;;12,474;;;3.48;;;;;
19;MELON;1,995;77;;77;;-;;25,909;;;1.22;;;;;
20;NABO;500;35;;35;;-;;14,286;;;1.69;;;;;
21;PAPA (agrupa mejoradas y nativas);2,088;105;;105;;-;;19,886;;;1.88;;;;;
22;PAPRIKA;185;23;;23;;-;;8,043;;;5.39;;;;;
23;PEPINILLO (CUCUMIS SATIVUS);3,471;182;;182;;-;;19,071;;;1.23;;;;;
24;PIMIENTO;2,685;146;;146;;-;;18,390;;;3.68;;;;;
25;PORO;615;36;;36;;-;;17,083;;;1.88;;;;;
26;QUINUA;502;225;;225;;-;;2,231;;;4.95;;;;;
27;RABANO;164;12;;12;;-;;13,667;;;1.73;;;;;
28;SANDIA;13,833;383;;383;;-;;36,117;;;1.00;;;;;
29;TOMATE;9,643;248;;248;;-;;38,883;;;1.40;;;;;
30;TRIGO;6;2;;2;;-;;3,000;;;1.70;;;;;
31;ZAPALLO;8,047;199;;199;;-;;40,437;;;2.52;;;;;
CULTIVOSÿSEMIPERMANENTES;;;;;;;;;;;;;;;;;
32         OREGANO;;4,411;764;;764;;-;;5,774;;;5.26;;;;;
33         ROCOTO;;385;24;;24;;-;;16,042;;;4.33;;;;;
CULTIVOSÿPERMANENTES;;;;;;;;;;;;;;;;;
34;ALFALFA;92,308;1,728;;1,728;;-;;53,419;;;0.59;;;;;
35;CIROLERO;53;8;;8;;-;;6,625;;;6.00;;;;;
36;DAMASCO;50;10;;10;;-;;5,000;;;8.00;;;;;
37;GRANADO;108;14;;12;;2;;9,000;;;1.47;;;;;
38;HIGUERA;122;16;;16;;-;;7,625;;;3.99;;;;;
39;MANZANO;746;69;;66;;3;;11,303;;;1.96;;;;;
40;MELOCOTONERO;588;49;;47;;2;;12,511;;;4.30;;;;;
41;MEMBRILLO;29;4;;4;;-;;7,250;;;2.65;;;;;
42;NARANJO;27,729;1,534;;1,122;;412;;24,714;;;0.99;;;;;
43;OLIVO;176,423;22,110;;19,695;;2,415;;8,958;;;2.04;;;;;
44;PALTO;447;92;;39;;53;;11,462;;;5.11;;;;;
45;PERAL;836;52;;52;;-;;16,077;;;2.92;;;;;
46;PLATANO;28;4;;4;;-;;7,000;;;2.00;;;;;
47;TUNA (Cochinilla);-;1,310;;-;;1,310;;-;;;-;;;;;
48;VID;6,125;581;;577;;4;;10,615;;;3.32;;;;;
"FUENTE: A. Agrarias                                                                                                                     (*)INFORMACION PRELIMINAR
ELABORACION:DEA-Tacna/Est. Agr¡cola";;;;;;;;;;;;;;;;;
