CEDULA DE PRINCIPALES CULTIVOS, SEGéN  DISTRITO  2021;;;;;;;;;
REGION :;;;;Tacna;;;;;
PROVINCIA :;;;;Tacna;;;;;
DISTRITO :;;;;PACHIA;;;;;
;;;;;;;;;
NRO. ORDEN;CULTIVO;PRODUCCION ANUAL (t);SUPERFICIE CULTIVADA ha. (*);;;;;"RENDIMIENTO
(kg x ha)";"PRECIO EN
CHACRA
(S/. x kg)"
;;;TOTAL;;COSECHADA;CRECIMIENTO;;;
TOTAL DISTRITAL:;;8,688;507;;494;;13;;
CULTIVOSÿTRANSITORIOS;;;;;;;;;
01;AJI;23;2;;2;;;11,500;3.26
02;APIO;665;30;;30;;-;22,167;1.00
03;ARVEJA GRANO VERDE;14;3;;3;;-;4,667;4.00
04;BETARRAGA;200;12;;12;;-;16,667;1.66
05;BROCOLI;498;27;;27;;-;18,444;1.76
06;CEBOLLA;71;2;;2;;-;35,500;0.75
07;COL O REPOLLO;367;17;;17;;-;21,588;1.42
08;COLIFLOR;306;17;;17;;-;18,000;1.60
09;ESPINACA;189;12;;12;;-;15,750;1.72
10;HABA GRANO VERDE;48;8;;8;;-;6,000;2.13
11;LECHUGA;630;29;;29;;-;21,724;1.67
12;MAIZ AMILACEO;19;12;;12;;-;1,583;4.74
13;MAIZ CHOCLO;184;14;;14;;-;13,143;3.24
14;NABO;181;12;;12;;-;15,083;1.52
15;PAPA;653;31;;31;;-;21,065;1.45
16;PORO;171;10;;10;;-;17,100;1.61
17;RABANO;82;6;;6;;-;13,667;1.53
18;TOMATE;269;9;;9;;-;29,889;1.33
19;ZAPALLO;777;23;;23;;-;33,783;2.30
EMIPERMANENTE;;;;;;;;;
20;OREGANO;185;67;;67;;-;2,761;9.04
21;ROCOTO;76;4;;4;;-;19,000;2.95
SÿPERMANENTES;;;;;;;;;
22;ALFALFA;2,860;117;;117;;-;24,444;0.42
23;HIGUERA;4;1;;1;;-;4,000;3.50
24;MANZANO;25;3;;3;;-;8,333;2.00
25;PALTO;11;15;;2;;13;5,500;5.00
26;PERAL;5;1;;1;;-;5,000;3.50
27;VID;175;23;;23;;-;7,609;3.25
;;;;;;;;;
