REGION :;;;;;Tacna;;;;
PROVINCIA :;;;;;TARATA;;;;
;;;;;;;;;
CULTIVO;;PRODUCCION ANUAL (t);SUPERFICIE CULTIVADA ha. (*);;;;RENDIMIENTO;PRECIO EN CHACRA;
;;;;;;;;;
;;;TOTAL;COSECHADA;;CRECIMIENTO;(kg x ha);(S/ x Kg);
TOTAL PROVINCIAL:;;52,193;3,166;3,148;;18;;;
CULTIVOS TRANSITORIOS;;;;;;;;;
1;AJO;45;5;5;;-;9,000;4.00;
2;ARVEJA GRANO VERDE;85;10;10;;-;8,500;3.84;
3;HABA GRANO VERDE;369;45;45;;-;8,200;1.61;
4;MAIZ AMILACEO;1,429;496;496;;-;2,881;4.88;
5;MAIZ CHOCLO;644;44;44;;-;14,636;3.59;
6;PAPA;2,389;123;123;;-;19,423;1.85;
7;ZAPALLO;220;9;9;;-;24,444;2.36;
CULTIVO SEMIPERMANENTE;;;;;;;;;
8;OREGANO;1,946;418;417;;1;4,667;13.15;
CULTIVOS PERMANENTES;;;;;;;;;
9;ALFALFA;42,834;1,757;1,757;;-;24,379;0.27;
10;CIROLERO;121;24;20;;4;6,050;6.80;
11;DAMASCO;25;6;4;;2;6,250;10.00;
12;HIGUERA;42;6;6;;-;7,000;4.00;
13;MANZANO;490;52;49;;3;10,000;2.04;
14;MELOCOTONERO;34;7;6;;1;5,667;3.15;
15;MEMBRILLO;79;5;5;;-;15,800;1.92;
16;PALTO;50;10;4;;6;12,500;7.00;
17;PERAL;302;41;40;;1;7,550;3.17;
18;TUNA;1,089;108;108;;-;10,083;3.04;
FUENTE: A. Agrarias;;;;(*)INFORMACION PRELIMINAR;;;;;
ELABORACION:DEA-Tacna/Est. Agr¡cola;;;;;;;;;
