;REGION :;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Tacna;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12
0;PROVINCIA :;;;;;;;;TACNA;;;;
1;;;;;;;;;;;;;
2;CULTIVO;;PRODUCCION ANUAL (t);SUPERFICIE CULTIVADA ha. (*);;;;;;"RENDIMIENTO
(kg x ha)";;;"PRECIO EN CHACRA
(S/ x Kg)"
3;;;;TOTAL;;COSECHADA;;CRECIMIENTO;;;;;
4;;;444145;33558;;29357;;4201;;;;;
5;TOTAL PROVINCIAL:                                                       ;;444145;33558;;29357;;4201;;;;;
6;CULTIVOS TRANSITORIOS;;;;;;;;;;;;
7;1;ACELGA;32;2;;2;;-;;16000;;;1.65
8;2;AJI;8570;786;;786;;-;;10903;;;2.71
9;3;APIO;2612;121;;121;;-;;21587;;;1.16
10;4;ARVEJA GRANO VERDE;64;11;;11;;-;;5818;;;5.42
11;5;BETARRAGA;2241;128;;128;;-;;17508;;;1.74
12;6;BROCOLI;1396;78;;78;;-;;17897;;;1.98
13;7;CAMOTE;7483;365;;365;;-;;20501;;;1.24
14;8;CEBOLLA CABEZA AMARILLA;283;8;;8;;-;;35375;;;1.22
15;9;CEBOLLA ROJA;7980;217;;217;;-;;36774;;;1.08
16;10;COL O REPOLLO;1157;56;;56;;-;;20661;;;1.74
17;11;COLIFLOR;805;48;;48;;-;;16771;;;1.85
18;12;ESPINACA (T);623;39;;39;;-;;15974;;;2.02
19;13;FRIJOL VAINITA;1340;187;;187;;-;;7166;;;4.78
20;14;HABA GRANO VERDE;221;36;;36;;-;;6139;;;2.19
21;15;LECHUGA;2057;95;;95;;-;;21653;;;1.67
22;16;MAIZ AMILACEO;57;31;;31;;-;;1839;;;4.61
23;17;MAIZ CHALA;52129;1230;;1230;;-;;42381;;;0.51
24;18;MAIZ CHOCLO;973;78;;78;;-;;12474;;;3.48
25;19;MELON;1995;77;;77;;-;;25909;;;1.22
26;20;NABO;500;35;;35;;-;;14286;;;1.69
27;21;PAPA (agrupa mejoradas y nativas);2088;105;;105;;-;;19886;;;1.88
28;22;PAPRIKA;185;23;;23;;-;;8043;;;5.39
29;23;PEPINILLO (CUCUMIS SATIVUS);3471;182;;182;;-;;19071;;;1.23
30;24;PIMIENTO;2685;146;;146;;-;;18390;;;3.68
31;25;PORO;615;36;;36;;-;;17083;;;1.88
32;26;QUINUA;502;225;;225;;-;;2231;;;4.95
33;27;RABANO;164;12;;12;;-;;13667;;;1.73
34;28;SANDIA;13833;383;;383;;-;;36117;;;1
35;29;TOMATE;9643;248;;248;;-;;38883;;;1.4
36;30;TRIGO;6;2;;2;;-;;3000;;;1.7
37;31;ZAPALLO;8047;199;;199;;-;;40437;;;2.52
38;CULTIVOS SEMIPERMANENTES;;;;;;;;;;;;
39;32         OREGANO;;4411;764;;764;;-;;5774;;;5.26
40;33         ROCOTO;;385;24;;24;;-;;16042;;;4.33
41;CULTIVOS PERMANENTES;;;;;;;;;;;;
42;34;ALFALFA;92308;1728;;1728;;-;;53419;;;0.59
43;35;CIROLERO;53;8;;8;;-;;6625;;;6
44;36;DAMASCO;50;10;;10;;-;;5000;;;8
45;37;GRANADO;108;14;;12;;2;;9000;;;1.47
46;38;HIGUERA;122;16;;16;;-;;7625;;;3.99
47;39;MANZANO;746;69;;66;;3;;11303;;;1.96
48;40;MELOCOTONERO;588;49;;47;;2;;12511;;;4.3
49;41;MEMBRILLO;29;4;;4;;-;;7250;;;2.65
50;42;NARANJO;27729;1534;;1122;;412;;24714;;;0.99
51;43;OLIVO;176423;22110;;19695;;2415;;8958;;;2.04
52;44;PALTO;447;92;;39;;53;;11462;;;5.11
53;45;PERAL;836;52;;52;;-;;16077;;;2.92
54;46;PLATANO;28;4;;4;;-;;7000;;;2
55;47;TUNA (Cochinilla);-;1310;;-;;1310;;-;;;-
56;48;VID;6125;581;;577;;4;;10615;;;3.32
57;"FUENTE: A. Agrarias                                                                                                                     (*)INFORMACION PRELIMINAR
ELABORACION:DEA-Tacna/Est. Agrícola";;;;;;;;;;;;
