CEDULA DE PRINCIPALES CULTIVOS, SEGéN  DISTRITO  2021;;;;;;;;;
REGION :;;;;Tacna;;;;;
PROVINCIA :;;;;Tacna;;;;;
DISTRITO :;;;;C.G. ALBARRACIN L.;;;;;
;;;;;;;;;
NRO. ORDEN;CULTIVO;PRODUCCION ANUAL (t);SUPERFICIE CULTIVADA ha. (*);;;;;"RENDIMIENTO
(kg x ha)";"PRECIO EN CHACRA
(S/. x kg)"
;;;TOTAL;;COSECHADA;CRECIMIENTO;;;
TOTAL DISTRITAL:;;1,525;327;;90;;237;;
CULTIVOSÿTRANSITORIOS;;;;;;;;;
01;AJI;37;3;;3;;-;12,333;2.85
02;CAMOTE;12;1;;1;;-;12,000;1.30
03;CEBOLLA;70;2;;2;;-;35,000;0.70
04;MAIZ CHOCLO;42;3;;3;;-;14,000;3.50
05;SANDIA;227;6;;6;;-;37,833;0.73
06;TOMATE;113;3;;3;;-;37,667;1.57
EMIPERMANENTE;;;;;;;;;
07;OREGANO;56;10;;10;;-;5,600;7.48
SÿPERMANENTES;;;;;;;;;
08;ALFALFA;51;2;;2;;-;25,500;0.41
09;MANZANO;28;3;;3;;-;9,333;1.61
10;MELOCOTON;32;3;;3;;-;10,667;4.00
11;NARANJO;700;68;;32;;36;21,875;1.53
12;OLIVO;20;8;;8;;-;2,500;2.80
15;PALTO;24;9;;4;;5;6,000;5.50
16;PERAL;33;2;;2;;-;16,500;2.00
17;TUNA (Cochinilla);-;192;;-;;192;-;-
18;VID;80;12;;8;;4;10,000;3.50
;;;;;;;;;
