CEDULA DE PRINCIPALES CULTIVOS, SEGéN  DISTRITO  2023;;;;;;;
REGION :;;;;TACNA;;;
PROVINCIA :;;;;TACNA;;;
DISTRITO :;;;;LA YARADA LOS PALOS;;;
;;;;;;;
;;PRODUCCION ANUAL (t);SUPERFICIE CULTIVADA ha. (*);;;"RENDIMIENTO
(kg x ha)";"PRECIO EN CHACRA (S/.
x kg)"
;CULTIVO;;;;;;
;;;TOTAL;COSECHADA;CRECIMIENTO;;
TOTAL DISTRITAL:;;226,994;26,864;25,294;1,570;;
CULTIVOSÿTRANSITORIOS;;;;;;;
01;AJI;1,975;166;166;-;11,898;3.30
02;APIO;757;37;37;-;20,459;1.48
03;BETARRAGA;1,360;70;70;-;19,429;1.81
04;CAMOTE;11,185;517;517;-;21,634;1.62
05;CEBOLLA ROJA;6,253;153;153;-;40,869;1.16
06;FRIJOL VAINITA;925;138;138;-;6,703;1.84
07;MAIZ CHALA;7,684;151;151;-;50,887;0.70
08;MAIZ CHOCLO;205;15;15;-;13,667;3.80
09;MELON;2,524;86;86;-;29,349;1.30
10;PAPA;84;6;6;-;14,000;1.50
11;PAPRIKA;255;26;26;-;9,808;6.93
12;PEPINILLO;4,818;222;222;-;21,703;1.59
13;PIMIENTO;4,259;195;195;-;21,841;3.37
14;QUINUA;297;134;134;-;2,216;5.02
15;SANDIA;22,948;503;503;-;45,622;1.08
16;TOMATE;10,744;242;242;-;44,397;1.91
17;ZAPALLO;3,477;79;79;-;44,013;2.63
CULTIVOÿSEMIPERMANENTE;;;;;;;
18;OREGANO;3,262;440;440;-;7,414;4.96
19;ROCOTO;165;6;6;-;27,500;4.52
CULTIVOSÿPERMANENTES;;;;;;;
20;ALFALFA;836;21;21;-;39,810;0.60
21;GRANADO;72;8;8;-;9,000;1.50
22;HIGUERA;96;10;10;-;9,600;2.14
23;MANZANO;270;60;20;40;13,500;2.00
24;MEMBRILLO;7;1;1;-;7,000;2.30
25;NARANJO;16,556;1,580;1,077;503;15,372;1.80
26;OLIVO;125,604;21,253;20,934;319;6,000;3.75
27;PALTO;46;40;5;35;9,200;5.35
28;PERAL;105;14;11;3;9,545;3.00
29;PLATANO;30;4;4;-;7,500;2.00
30;TUNA (Cochinilla);-;670;-;670;-;-
31;VID;195;17;17;-;11,471;5.51
FUENTE: A. Agrarias;;;;(*)INFORMACION PRELIMINAR;;;
ELABORACION:DEA-Tacna/Est. Agr¡cola;;;;;;;
;;;;;;;
