CEDULA DE PRINCIPALES CULTIVOS, SEGéN  DISTRITO  2021;;;;;;;;;;
REGION :;;;;Tacna;;;;;;
PROVINCIA :;;;;Tacna;;;;;;
DISTRITO :;;;;PALCA;;;;;;
;;;;;;;;;;
NRO. ORDEN;CULTIVO;PRODUCCION ANUAL (t);SUPERFICIE CULTIVADA ha. (*);;;;;;"RENDIMIENTO
(kg x ha)";"PRECIO EN
CHACRA
(S/. x kg)"
;;;TOTAL;;;COSECHADA;CRECIMIENTO;;;
TOTAL DISTRITAL:;;1,953;115;;;115;-;;;
CULTIVOSÿTRANSITORIOS;;;;;;;;;;
01;HABA GRANO VERDE;18;3;;;3;;-;6,000;2.00
02;MAIZ AMILACEO;17;11;;;11;;-;1,545;4.74
03;PAPA;181;11;;;11;;-;16,455;1.07
ÿEMIPERMANENTE;;;;;;;;;;
04;OREGANO;77;30;;;30;;-;2,567;8.98
ÿSÿPERMANENTES;;;;;;;;;;
05;ALFALFA;1,660;60;;;60;;-;27,667;0.38
;;;;;;;;;;
