CEDULA DE PRINCIPALES CULTIVOS, PROVINCIA  2023;;;;;;;;;;;;;;
REGION :;;;;;;;TACNA;;;;;;;
PROVINCIA :;;;;;;;TARATA;;;;;;;
CULTIVO;;;"PRODUCCION
ANUAL (t)";;SUPERFICIE CULTIVADA ha. (*);;;;;;"RENDIMIENTO
(kg x ha)";;"PRECIO EN
CHACRA (S/.";
;;;;;TOTAL;;COSECHADA;CRECIMIENTO;;;;;;
TOTAL PROVINCIAL:;;;51,749;;3,053;;3,033;20;;;x kg);;;
CULTIVOS TRANSITORIOS;;;;;;;;;;;;;;
01;AJO;;19;;2;;2;-;;;9,500;;5.47;
02;ARVEJA GRANO VERDE;;92;;13;;13;-;;;7,077;;5.99;
03;CEBADA GRANO;;5;;2;;2;-;;;2,500;;2.00;
04;HABA GRANO VERDE;;297;;40;;40;-;;;7,425;;2.48;
05;MAIZ AMILACEO;;1,046;;373;;373;-;;;2,804;;5.66;
06;MAIZ CHOCLO;;949;;51;;51;-;;;18,608;;4.00;
07;PAPA;;2,219;;124;;124;-;;;17,895;;2.71;
08;ZAPALLO;;194;;9;;9;-;;;21,556;;2.52;
CULTIVO SEMIPERMANENTE;;;;;;;;;;;;;;
09;OREGANO;;2,047;;421;;421;-;;;4,862;;9.55;
CULTIVOS PERMANENTES;;;;;;;;;;;;;;
10;ALFALFA;;42,497;;1,757;;1,757;-;;;24,187;;0.32;
11;CIROLERO;;122;;24;;20;4;;;6,100;;7.00;
12;DAMASCO;;24;;6;;4;2;;;6,000;;12.00;
13;HIGUERA;;51;;6;;6;-;;;8,500;;3.50;
14;MANZANO;;562;;52;;49;3;;;11,469;;1.98;
15;MELOCOTONERO;;36;;7;;6;1;;;6,000;;3.50;
16;MEMBRILLO;;45;;5;;5;-;;;9,000;;1.87;
17;PALTO;;65;;10;;4;6;;;16,250;;4.00;
18;PERAL;;246;;41;;39;2;;;6,308;;3.20;
19;TUNA;;1,233;;110;;108;2;;;11,417;;3.53;
"FUENTE: A. Agrarias                                                                                                             (*)INFORMACION PRELIMINAR
ELABORACION:DEA-Tacna/Est. Agr¡cola";;;;;;;;;;;;;;
