REGION :,,,,,,,,Tacna,,,,,,,,,
PROVINCIA :,,,,,,,,TACNA,,,,,,,,,
,,,,,,,,,,,,,,,,,
CULTIVO,,PRODUCCION ANUAL (t),SUPERFICIE CULTIVADA ha. (*),,,,,,"RENDIMIENTO
(kg x ha)",,,"PRECIO EN CHACRA
(S/ x Kg)",,,,,
,,,TOTAL,,COSECHADA,,CRECIMIENTO,,,,,,,,,,
,,444145,33558,,29357,,4201,,,,,,,,,,
TOTAL PROVINCIAL:                                                       ,,444145,33558,,29357,,4201,,,,,,,,,,
CULTIVOS TRANSITORIOS,,,,,,,,,,,,,,,,,
1,ACELGA,32,2,,2,,-,,16000,,,1.65,,,,,
2,AJI,8570,786,,786,,-,,10903,,,2.71,,,,,
3,APIO,2612,121,,121,,-,,21587,,,1.16,,,,,
4,ARVEJA GRANO VERDE,64,11,,11,,-,,5818,,,5.42,,,,,
5,BETARRAGA,2241,128,,128,,-,,17508,,,1.74,,,,,
6,BROCOLI,1396,78,,78,,-,,17897,,,1.98,,,,,
7,CAMOTE,7483,365,,365,,-,,20501,,,1.24,,,,,
8,CEBOLLA CABEZA AMARILLA,283,8,,8,,-,,35375,,,1.22,,,,,
9,CEBOLLA ROJA,7980,217,,217,,-,,36774,,,1.08,,,,,
10,COL O REPOLLO,1157,56,,56,,-,,20661,,,1.74,,,,,
11,COLIFLOR,805,48,,48,,-,,16771,,,1.85,,,,,
12,ESPINACA (T),623,39,,39,,-,,15974,,,2.02,,,,,
13,FRIJOL VAINITA,1340,187,,187,,-,,7166,,,4.78,,,,,
14,HABA GRANO VERDE,221,36,,36,,-,,6139,,,2.19,,,,,
15,LECHUGA,2057,95,,95,,-,,21653,,,1.67,,,,,
16,MAIZ AMILACEO,57,31,,31,,-,,1839,,,4.61,,,,,
17,MAIZ CHALA,52129,1230,,1230,,-,,42381,,,0.51,,,,,
18,MAIZ CHOCLO,973,78,,78,,-,,12474,,,3.48,,,,,
19,MELON,1995,77,,77,,-,,25909,,,1.22,,,,,
20,NABO,500,35,,35,,-,,14286,,,1.69,,,,,
21,PAPA (agrupa mejoradas y nativas),2088,105,,105,,-,,19886,,,1.88,,,,,
22,PAPRIKA,185,23,,23,,-,,8043,,,5.39,,,,,
23,PEPINILLO (CUCUMIS SATIVUS),3471,182,,182,,-,,19071,,,1.23,,,,,
24,PIMIENTO,2685,146,,146,,-,,18390,,,3.68,,,,,
25,PORO,615,36,,36,,-,,17083,,,1.88,,,,,
26,QUINUA,502,225,,225,,-,,2231,,,4.95,,,,,
27,RABANO,164,12,,12,,-,,13667,,,1.73,,,,,
28,SANDIA,13833,383,,383,,-,,36117,,,1,,,,,
29,TOMATE,9643,248,,248,,-,,38883,,,1.4,,,,,
30,TRIGO,6,2,,2,,-,,3000,,,1.7,,,,,
31,ZAPALLO,8047,199,,199,,-,,40437,,,2.52,,,,,
CULTIVOS SEMIPERMANENTES,,,,,,,,,,,,,,,,,
32         OREGANO,,4411,764,,764,,-,,5774,,,5.26,,,,,
33         ROCOTO,,385,24,,24,,-,,16042,,,4.33,,,,,
CULTIVOS PERMANENTES,,,,,,,,,,,,,,,,,
34,ALFALFA,92308,1728,,1728,,-,,53419,,,0.59,,,,,
35,CIROLERO,53,8,,8,,-,,6625,,,6,,,,,
36,DAMASCO,50,10,,10,,-,,5000,,,8,,,,,
37,GRANADO,108,14,,12,,2,,9000,,,1.47,,,,,
38,HIGUERA,122,16,,16,,-,,7625,,,3.99,,,,,
39,MANZANO,746,69,,66,,3,,11303,,,1.96,,,,,
40,MELOCOTONERO,588,49,,47,,2,,12511,,,4.3,,,,,
41,MEMBRILLO,29,4,,4,,-,,7250,,,2.65,,,,,
42,NARANJO,27729,1534,,1122,,412,,24714,,,0.99,,,,,
43,OLIVO,176423,22110,,19695,,2415,,8958,,,2.04,,,,,
44,PALTO,447,92,,39,,53,,11462,,,5.11,,,,,
45,PERAL,836,52,,52,,-,,16077,,,2.92,,,,,
46,PLATANO,28,4,,4,,-,,7000,,,2,,,,,
47,TUNA (Cochinilla),-,1310,,-,,1310,,-,,,-,,,,,
48,VID,6125,581,,577,,4,,10615,,,3.32,,,,,
"FUENTE: A. Agrarias                                                                                                                     (*)INFORMACION PRELIMINAR
ELABORACION:DEA-Tacna/Est. Agrícola",,,,,,,,,,,,,,,,,
